,created_at,username,tweet,language,replies_count,retweets_count,likes_count,Username,Retweets
179,2021-06-09 23:30:35 India Standard Time,kumarrsamy,"@news7tamil @Anbil_Mahesh @PKSekarbabu They should respect the Covid regulations,in one auto 3 were sit together?",en,0.0,0.0,0,,
180,2021-06-09 23:28:56 India Standard Time,tadh796,"Honorable sir, Colleges demanding the complete fees of academic year and they demanding the money for other college facilities that we don't used for that year.I request you sir, Please take the decision about college fees during COVID -19 situation.@CMOMaharashtra @narendramodi",en,0.0,0.0,0,,
181,2021-06-09 23:28:51 India Standard Time,reshu55556009,@drharshvardhan Aadarniya Health minister (Bharat Sarkar) ko mera namaskar Sir mai Telangana City Hyderabad me RC PURAM jiska pin502032 me rahti hu.Sir yaha covid vaccine nahi mil pa rahi  https://t.co/0XZNKqKtw1 vaccine book karne par slot nhi mil rahe hai.,hi,0.0,0.0,0,,
182,2021-06-09 23:28:03 India Standard Time,chandelbjp,Covid Vaccination Plan for - 10/06/2021 @ Khajuraho Rasoi  https://t.co/RTMtWpY10Z,ro,0.0,0.0,0,,
183,2021-06-09 23:27:08 India Standard Time,indianshaqib,"शुक्रिया @rais_shk जी देश जब covid_19 से जूझ रहा है, तब अपने #bhiwandi वालों को एम्बुलेंस दिया, @NasirJaved_  https://t.co/UtaRvtm63T",hi,0.0,1.0,15,,
184,2021-06-09 23:26:13 India Standard Time,rekhakhan_nbt,@yogitabhayana You too are doing a wonderful job in these difficult times of COVID. You are not only my source of inspiration but of the unconditionally support that I will always be grateful for. Thank you ❤️,en,0.0,1.0,2,,
185,2021-06-09 23:24:21 India Standard Time,dastanjannat,“ Covid didn't kill me but definitely killed the person inside me ...”,en,0.0,0.0,3,,
186,2021-06-09 23:15:56 India Standard Time,freezethawed,"I realised that... COVID duty is like a deep cleanse.   A PPE is like a sauna for 4-6-8-12 hours, continuing for 5-7 days. During this time you release all your toxins, rehydrate and then, go into your quarantine squeaky clean.   Unless you contract COVID. :/   #MedTwitter",en,0.0,0.0,6,,
187,2021-06-09 23:14:52 India Standard Time,lagrandchose,Ok people. Get your covid vaccine when it is available. Stay safe. Xx.,en,2.0,0.0,19,,
188,2021-06-09 23:13:59 India Standard Time,deb_avirup,"Student's life is more important than exams🙏We are not vaccinated yet ,So if we get infected by covid-19 then who will take the responsibility @ranojpegu Exams must be cancelled.Our health is our first priority #StudentsLivesMatter #CancelAssamBoardExam @himantabiswa @PMOIndia",en,0.0,0.0,0,,
189,2021-06-09 23:13:28 India Standard Time,sajjaadalee,@ZarrarKhuhro Covid-19 has been a blessing in disguise for Pakistan.   It has disciplined us in many ways.,en,0.0,0.0,0,,
190,2021-06-09 23:09:05 India Standard Time,arvindkanojia16,"@drdineshbjp @narendramodi Sir मेरा बेटा 16year का है मैं और मेरी पत्नी दोनों covid positive ho चुके है पर अब हम ठीक हैं पर बेटे और ओस जैसे बच्चों के लिए बहुत चिंतित हैं मेरा सिर आपसे, मुख्यमंत्रीजी एवम प्रधानमंत्रीजी से अनुरोध है कि 18year से कम उम्र के बच्चों का vaccination जल्द से जल्द हो",hi,0.0,0.0,0,,
191,2021-06-09 23:07:16 India Standard Time,trv_airport_off,"@hydchinnodu As per latest Govt of Kerala orders Movement of public transport, private vehicles and taxis to and from airports is allowed for facilitating movement of passengers by air on display of  valid travel documents/tickets &amp; strictly adhering to COVID protocol.  https://t.co/4iBs3KaWBm",en,0.0,0.0,0,,
192,2021-06-09 23:05:03 India Standard Time,sipgrab,The Number One: This island — almost untouched by COVID — is home to the most livable city in the world  https://t.co/5RE9i6dVOb #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0,,
193,2021-06-09 23:04:58 India Standard Time,haryanarpwd,"@dharamvirnehra @DisabRights_Ind @cmohry Serious efforts on the part of State of Haryana are undergoing to सेव divyangjan from Covid 19 under the leadership of @Cmohry and if any lapse is brought to knowledge, the corrective steps shall immediately be taken.",en,1.0,0.0,1,,
194,2021-06-09 23:03:11 India Standard Time,nitinsharma13,@drharshvardhan @INCIndia @RahulGandhi @PMOIndia @BJP4India Wish you focus on the job in hand.. COVID .. focus duffer focus!!!,en,0.0,0.0,0,,
195,2021-06-09 23:01:04 India Standard Time,cmhoiecjodhpur,"#जोधपुर में मंगलवार को 186 साइट्स पर 21,192 लाभार्थियो का हुआ #covid वैक्सीनशन। #womenspower @WHO @MoHFW_INDIA @UNDP_India @RajCMO @DIPRRajasthan @NNJSouth @NNJNorth  https://t.co/ViOl8q43zo",hi,2.0,2.0,18,,
196,2021-06-09 23:00:10 India Standard Time,89ishan,Let's stand together  and help abhisek  for fight against  covid. Your small contribution  can save some one life.we need  help. #HumanityFirst.@CMO_Odisha @SonuSood  https://t.co/OXJriDHcYS,en,0.0,0.0,1,,
197,2021-06-09 23:00:08 India Standard Time,nausikhiya_,"Sunset!  I've no words to describe, one of the most beautiful sunset I've witnessed after a looong time ! Hope Covid waves fall soon and we all get to roam around the city like the old times ;) . Shot on Mi 10i @Xiaomi @XiaomiIndia @cntraveller @NatGeoPhotos  #Mumbai #sunsets  https://t.co/bK62vyaVbB",en,1.0,0.0,6,,
198,2021-06-09 22:53:27 India Standard Time,digitalchefyash,@ekta_says Now You Can Update Your Personal Details On COVID-19 Vaccine Certificate On CoWin Portal  Detailed steps to update your personal details on COVID-19 Vaccine Certificates on CoWin Portal👇🏻    https://t.co/WFfr4tegzR,en,0.0,0.0,0,,
199,2021-06-09 22:52:42 India Standard Time,thisisnagesh,My previous company didn’t settle my dues once I left the company. Its difficult time for me in COVID situation. Please help me. @LabourMinistry @narendramodi @PMOIndia,en,1.0,0.0,0,,
200,2021-06-09 22:51:41 India Standard Time,ashokvishnoiras,Help in COVID -19 by Renew Solar power under CSR in Jaisalmer . Thanks @ReNew_Power  https://t.co/Qd8EVLx0Ud,en,1.0,4.0,24,,
201,2021-06-09 22:50:52 India Standard Time,freezethawed,Slowly becoming my favourite spot in #COVID wards.   #CovidIndia #COVIDSecondWave  https://t.co/r1v0x0MlUR,en,0.0,0.0,6,,
202,2021-06-09 22:47:49 India Standard Time,vignesh52661878,"@justinbieber bro, I am Vignesh M from chennai, my totally family got effected with covid 19 bro, we need your help bro, I admitted my father, my father is an sugar patient sir in miot hospital they charged almost 7 lakhs, me admitted in other hospital please help my father bro🙏",en,0.0,0.0,1,,
203,2021-06-09 22:46:53 India Standard Time,divyanshu_hope,Had a fruitful interaction with CMO and Addn. CMO of Chandauli district on creating awareness towards #covid #vaccination.  Mass vaccination is perhaps the only way to avoid a third wave of covid and prevent widespread deaths. #CoWIN @ravikantkem @a__punit  https://t.co/YRBCDviMRC,en,0.0,5.0,21,,
204,2021-06-09 22:46:42 India Standard Time,sumitac94006849,@DhirajRMishra21 It is news in all media that Covid 19 vaccine gap between 1st and 2nd Dose should be minimum 28days for students pursuing international study. Please let me know from where I will get it in Mira-Bhayander as I am about to travel in 1st week July.,en,2.0,0.0,2,,
205,2021-06-09 22:46:08 India Standard Time,khulasafirst,मास्क पहनना ज़रूरी न हो जबरन वसूली  #khulasafirst #indore #newsaper #CoronaPandemic #mask #nagarnigam @tulsi_silawat @ChouhanShivraj @KailashOnline @IndoreCollector @ANI @OfficeofSSC #cm  #COVID19 #covid #indore #indorenews #indoreupdate #IndoreFightsCorona #MadhyaPradesh  https://t.co/SqqM0VZt89,hi,0.0,0.0,0,,
206,2021-06-09 22:42:55 India Standard Time,shaikhs36169311,"Covid Alert in Mumbai 🚨 Worst situation in LTT.  कम से कम 10 ट्रेन के हजारो पैसेंजर स्टेशन पर बैठे हुए हैं, वो भी बिना सोशल डिस्टेंसिंग के, और यहां के प्रबंधन बोहत ही घटिया तारिके से काम कर रहा है। बारिश के वजह से किसी को ये भी नही पता के ट्रेन आएगी भी या नहीं @CMOMaharashtra  https://t.co/iyP8SdaoH3",hi,1.0,0.0,0,,
207,2021-06-09 22:42:13 India Standard Time,vignesh52661878,"@justinbieber brother  Now my father is admitted in MIOT hospital bro, in MIOT ICU due to covid 19. Please help my father bro 🙏",en,1.0,0.0,1,,
208,2021-06-09 22:41:24 India Standard Time,ravichandersan,"@ndtv if you watch ndtv deaths, poverty, discomfort etc due to Covid is prevalent only in UP. What a shame for a national broadcaster",en,0.0,0.0,0,,
209,2021-06-09 22:41:23 India Standard Time,arvindkumar8826,"@bsesdelhi  Sangam vihar L1st khanpur division daily light cut in night 9pm to 1pm ....but no one action.when we are all suffer covid 19 pandamic. Shocking and irritating is all contacts no are switched off, not reachable,wrong number what the hell service.",en,1.0,0.0,0,,
210,2021-06-09 22:37:22 India Standard Time,dravinashtiwary,Thank you #Dettol . #Dettol India has #honoured me for #helping_people during the #Covid and #going to #print my photos on its products.   #dettolsalutes  https://t.co/yVVs2zrX66,en,0.0,0.0,0,,
211,2021-06-09 22:37:00 India Standard Time,tanmay244,"Dear @74_alok sir, my two cents for your kind consideration. Covid has taught us all some Very tough lessons,  I like to suggest that we should increase govt. medical colleges and increase medical seats in UP. This will be a revolutionary step for our state and to our people.",en,0.0,1.0,3,,
212,2021-06-09 22:35:52 India Standard Time,clubnursery1,Telling the truth will diamonds or oxygen be useful in an Covid-19 epidemic? #SaveBuxwahaForest #savearavalirange  @narendramodi @ChouhanShivraj  @AmitShah @NaturePortfolio @ap_greenWarrior @KshKonde,en,0.0,2.0,3,,
213,2021-06-09 22:35:22 India Standard Time,nirvan85404252,@aajtak हो सके सरकार मल्टी स्टोरीज़ सोसायटी जहां 500 से अधिक फ़्लैट है वहाँ उनके क्लब हाउस में कैम्प लगा कर covid Vaccination करवाने का आदेश देने की कृपा करे । अस्पतालों में भीड़ भी काम होगी व शत प्रतिशत वैक्सिनेशन भी हो जाएगा 🙏धपोला,hi,0.0,0.0,0,,
214,2021-06-09 22:33:35 India Standard Time,drsanjeevkapoor,"Lost a close friend, doctor, gentlemen  to covid today--- can't do much  except  abuse the Chinese who created this virus &amp; pandemic.-",en,1.0,0.0,1,,
215,2021-06-09 22:33:18 India Standard Time,aida_asmadi,"@melourip Haha life before covid, asal dapat cuti panjang je pegi langkawi. Last jalan luar pun pegi event je",in,0.0,0.0,0,,
216,2021-06-09 22:32:07 India Standard Time,sipgrab,: ‘Baywatch’ star David Hasselhoff has come to the rescue…to save Germany from COVID-19 in vaccine drive  https://t.co/AizBVTEMrb #Nifty #Sipgrab #UnitingPeopleWithThePossibilities,en,0.0,0.0,0,,
217,2021-06-14 05:26:59 India Standard Time,sutansee,"Cegah Penyebaran Covid-19, Prokes dan 5M Upaya Paling Ampuh  https://t.co/ecMc4GchBL  Jaga Nusantara",in,0.0,0.0,1,,
218,2021-06-14 05:26:52 India Standard Time,sutansee,Jurus 5M Cegah Covid-19  https://t.co/EgZtzec5J5 Jaga Nusantara,in,0.0,0.0,0,,
219,2021-06-14 05:25:41 India Standard Time,aafiqshah,"@hafiznizamm italy lebih besar dan ramai rakyat 60m, gempak berita covid tahun lepas pun dari italy tapi dalam setahun mereka lebih berjaya dari malaysia yang bangga kes zero siap bagi award ale ale terciduk sekarang. cuba tanya apa exit strategy kat DG, kang tiba2 menangis nanti 🥺",in,1.0,0.0,0,,
220,2021-06-14 04:48:46 India Standard Time,azzibaba,Alhamdulillah got first jab of #Covid_19 Vaccine.,in,0.0,0.0,0,,
221,2021-06-14 04:39:26 India Standard Time,salhal1,International higher education at a crossroads post-COVID  https://t.co/yexzKYmuaH,en,0.0,0.0,0,,
222,2021-06-14 04:34:17 India Standard Time,ifjalh,"Students across the state are already suffering a lot due to COVID. Meanwhile, the Assam Government is also playing with the mental state of SEBA/AHSEC aspirants !  #CancelAssamBoardExams",en,0.0,6.0,5,,
223,2021-06-14 04:31:14 India Standard Time,hazanzan2,Total lockdown part II  dari 15 - 28 Jun 2021 #cmco #mco #pkp #Corona #COVID #StayHomeStaySafe,en,0.0,0.0,0,,
224,2021-06-14 04:10:37 India Standard Time,knchnds3,Who stole SSR's AI Patents based on Gaming + Covid App?? 😡👊 @ips_nupurprasad @IPS_Association @cbic_india  SUSHANT JUSTICE MATTERS,en,1.0,35.0,13,,
225,2021-06-14 04:02:36 India Standard Time,imatul001,"#Jammu ko #SmartCity baad mei baad mei banana phele #electricity, paani, toh do,uske baad khi waqt mile toh ye roads pe bhi dhayan de do.. #electricity #powershutdown #Pdd #JammuAndKashmir #powersupply #summer #Summer2021 #Covid_19 #Administration #public #Government #Article370",hi,0.0,1.0,2,,
226,2021-06-14 03:54:49 India Standard Time,faizrazak_12,"Tak kelakar ya demam lepas kena vaksin ni. Lagi-lagi bila kau dah 2 tahun tak demam (ever since covid started). Nasihat aku, cuti jelah satu lepas kena vaksin nanti.",in,0.0,0.0,2,,
227,2021-06-14 03:36:03 India Standard Time,emblemme_,susah la ada kawan yg macam tak kesah pasal covid ni,in,1.0,0.0,0,,
228,2021-06-14 03:20:12 India Standard Time,vasanmsv,"These elitist crap-bags will never understand the difference. They should understand that unlike theirs, not everyone in the family consume alcohol. But medicine and vaccine are needed for everyone. These are the ubiquitous COVID for this society. Use Periyar as a Vaccine",en,0.0,0.0,2,,
229,2021-06-14 03:16:24 India Standard Time,ravi9929,"Covid-19 Vaccination should be done door to door ,Not at center level this will lead preservation and complete use of vaccine doses.#Narendermodi #AshokGehlot #IndiaFightsCorana  #coronavirus",en,0.0,0.0,0,,
230,2021-06-14 02:54:22 India Standard Time,vasanmsv,"Inventing and scaling the world’s largest urban vertical farming network  https://t.co/Kh3whlNZTL via @McKinsey The future of food. Self sufficient and Sustainable.  A good model to be adopted for TN/Union. In times like COVID , this is going to be a boon. (1/2)",en,1.0,1.0,0,,
231,2021-06-14 02:43:20 India Standard Time,varaprasadk2,@TheSeeker268  https://t.co/LoJjbpxkVZ  Please do visit my blog on Covid spreading,en,0.0,0.0,0,,
232,2021-06-14 02:39:02 India Standard Time,aghamuneer2,Thank you volunteers for making sure stays safe from #Covid_19 @AbrarUlHaqPK @PRC_official @IFRCAsiaPacific @ifrc @ICRC @ICRC_AsiaPac @Kashif_Khuhro  https://t.co/NUZKPuFy99,en,0.0,0.0,2,,
233,2021-06-14 02:35:47 India Standard Time,bshrutib,Sad to hear of the passing away of Mrs Nirmal Milkha singh ji. Had the honour of meeting @JeevMilkhaSingh few years ago. Great personality. Heartfelt condolences to the entire family 🙏🏻🙏🏻🙏🏻 #covid #COVID19India #COVIDSecondWave,en,0.0,2.0,3,,
234,2021-06-14 02:24:58 India Standard Time,aviyan44211159,@HindiMaratha96k @hindusherni76 @NavallKishori Post covid इफेक्ट के कारण जब बाहर लोग मार रहे हैं तो फिर जेल के अन्दर क्या होगा।  https://t.co/wFbGUov6MQ,hi,0.0,0.0,0,,
235,2021-06-14 02:12:03 India Standard Time,sipgrab,"U.S. has administered 309.3 million doses of COVID-19 vaccines, CDC says  https://t.co/FS6TJAmj8L #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0,,
236,2021-06-14 02:00:17 India Standard Time,priyank94718412,@deepigoyal giving busness to bigger brands like al-bek and leon grill is what your duty is? selling things at 129/- and past 3-4 days we are stuggling for orders do we not have family? my outlet was closed since 2 mnths as my husbnd was covid+ &amp; was admittd we did opnd 2 weeks,en,2.0,0.0,0,,
237,2021-06-14 01:39:24 India Standard Time,judge1958,"@nileshsingh3322 There can't be a reply more idiotic than the one being offered here. In Covid times , documents are being registered as per the Govt guidelines. There is no such time restrictions as are being mentioned here.",en,0.0,1.0,1,,
238,2021-06-14 01:34:15 India Standard Time,yepdrshivuhere,"@divyayyy Preparing for the PG entrance examinations since, last one and half years, nothing has moved! Witnessed two deadly covid waves, two IPL seasons...half of 2021 is already done and as someone said, the show must go on🙌",en,2.0,0.0,3,,
239,2021-06-14 01:28:47 India Standard Time,newchange21,"Covid, male ah baaru bodu vanee atoll thakun kameh kureveyne goiy thah netheema. Baliveema faruvaa dheyne guideline eh neiy. Test kureveyne gotheh neiy. Dengue jehuneema faruvaa kuran Hedi guideline miadhuvee beynun kurathi ebalu control kurevey.",et,0.0,0.0,0,,
240,2021-06-14 01:26:33 India Standard Time,jaggirm,#MilkhaSingh heartfelt condolences to Milkha Singh as his wife Nirmal Kaur former Indian  women volleyball team captain  died due to covid-19 complications.  https://t.co/xRWDUxgrCl,en,0.0,1.0,8,,
241,2021-06-14 01:21:29 India Standard Time,rana_sarvottam,"Wife of Flying Sikh Milkha Singh, Nirmal Milkha Singh lost battle to Covid-19 . #covidtakinglifes",en,0.0,0.0,3,,
242,2021-06-14 01:20:51 India Standard Time,gurpree01184154,SEWA FOR HUMANITY  With all your Blessings and under the Guidance and Supervision of our Dedicated *MLA RAGHAV CHADHA*...  Today Saturday (12-06-21) Free Langar Thali Sewa Lunch/Dinner homemade for around 55+ Covid Patients  For any Sewa 🙏🙏 Gurpreet Singh  *TEAM RAGHAV CHADHA*  https://t.co/rzf0Wx1ZDx,en,0.0,1.0,1,,
243,2021-06-14 01:04:59 India Standard Time,khanalijaved,"Yet again in the wake of the COVID-19 pandemic, NCOC has not allowed the provincial govt of KPK to schedule Shandur polo festival 2021. District administration of Upper Chitral has backed up with the already commenced preparations. #shandurpolo #shandurchitral",en,2.0,1.0,10,,
244,2021-06-14 00:45:54 India Standard Time,gurmeetgill111,"Whenever Society needed a supporting hand u always turned up as a Superhero. Be it d volunteering 4 Vaccination drive @ Wagholi PHC or Wagholi Covid Helpdesk, u always stood strong, saved many lives &amp; helped many needy.  Hats off to you🙏 @Siraj_Dokadia @PMCPune @CMOMaharashtra  https://t.co/BneKAsfNVh",en,4.0,16.0,32,,
245,2021-06-14 00:43:45 India Standard Time,shubhendu1975,"@drharshvardhan @RijijuOffice @KirenRijiju @nitin_gadkari @PiyushGoyal @MoHFW_INDIA @PIBHomeAffairs @PIB_India @PMOIndia #NarendraModi See,how  UK has managed Covid and opened up and allowed sports activities and here you spoilt the life of our children in sports and education.",en,0.0,0.0,0,,
246,2021-06-14 00:41:56 India Standard Time,aftabal58775009,अंजुमन इशलमिया चाईबासा द्वारा आज उर्दू लाइब्रेरी में Covid 19 का वैक्सीनेशन कैम्प का शिविर लगाया गया ।..!!! #कोरोना_हारेगा_झारखंड_जीतेगा @hemantsorenjmm @dc_chaibasa @prdchaibasa @mithileshjmm @AftabAl58775009  https://t.co/6vKu9DWokM  https://t.co/n1hRn2qZ54,hi,0.0,0.0,4,,
247,2021-06-14 00:41:03 India Standard Time,sipgrab,"A new milestone for Bitcoin, COVID hits conference, Buterin’s DOGE payday: Hodler’s Digest, June 6–12  https://t.co/o8Yo0SqRkd #Sipgrab #UnitingPeopleWithThePossibilities",en,0.0,0.0,0,,
248,2021-06-14 00:31:56 India Standard Time,gurmeetgill111,"In d darkest hour of Covid Pandemy a Technical Expert &amp; Management Guru decided to pick d Sword &amp; Light together to save Lives &amp; Inspire others. Mr. Arzan @arrzaan ji, ur hard work &amp; selfless service for d Society is truly Inspiring.  U r a Superhero🙏 @PMCPune @CMOMaharashtra  https://t.co/EbMWEzmNg9",en,8.0,16.0,27,,
249,2021-06-14 00:29:57 India Standard Time,muhammakadam,"gampang,dekat sana dah takde covid ke..selamba tak pakai mask.cemburu pulak rase.",in,0.0,0.0,0,,
250,2021-06-14 00:23:54 India Standard Time,mirroramazing,@SonOfTheLand01 @Shifframarvins1 @Rugusuki @AidenKaliisa @BradleyCarlvin1 @FredRutagarama @AggreyKthe7th @GenSituka @YekoyadaUG @baazi_original @Arnoldtugumegm1 She must killed by poison injection to dignosed it covid 19,en,0.0,0.0,0,,
251,2021-06-14 00:22:25 India Standard Time,scottishladki,Azadi Jhooti hai kyunki iss desh ki junta bhooki hai...   Let that sink in tonight #PuneTwitter #COVID #COVID19India,hi,1.0,6.0,19,,
252,2021-06-14 00:21:24 India Standard Time,monowartlp,"Reposted from @ndtv As soon as Himachal Pradesh announced that COVID-19 RT-PCR negative tests are no longer required to enter the state, hundreds of cars were seen on the road leading up to the state  #Himachal #HimachalPradesh #Traffic #TrafficJam #RTPCRTest #Covid19  https://t.co/QP9k7QASKx",en,0.0,0.0,2,,
253,2021-06-14 00:18:32 India Standard Time,shishiraryatoi,A Freelance healthcare consultant and Nagpur's Government medical college trying self sampling for covid tests. Patients can take own nasal and throat swabs on theie Method under trial now and said to be pain free @timesofindia,en,0.0,0.0,1,,
254,2021-06-14 00:14:06 India Standard Time,blessonmanos,"We have prayerfully launched ""Life Pack to the Needy"" to provide the needy with 13 ESSENTIAL ITEMS worth 600 rupees..You can also contribute to be a part of it... Thank you... Contact: +91-8870101510 #lifepack #feednellai #COVID  https://t.co/Wy9cH4FjoY",en,0.0,0.0,0,,
255,2021-06-14 00:12:41 India Standard Time,msaeedherl,Jazz Cares ❤  #jazzcares #jazzsuper4g #DunyaKoBataaDo #COVID #vaccine,en,0.0,0.0,2,,
256,2021-06-14 00:08:10 India Standard Time,ladyymatcha,Bilalah covid tok nak ilang. aku nak vacay bah😭 stress na,in,0.0,0.0,0,,
257,2021-06-14 00:08:01 India Standard Time,blessonmanos,Thanks to #DettolIndia for the appreciation to our service to the society in this pandemic  #DettolSalutes #Covid_19 #FeedNellai  https://t.co/ZuyAVvhR5V,en,0.0,0.0,0,,
258,2021-06-14 00:07:52 India Standard Time,infoeschd,Very sad to know about the passing away of Nirmal Milkha Singh Ji due to Post-Covid illness. She was the captain of India’s Volleyball team &amp; was a excellent sportsperson. Our heartfelt condolences to milkha singh ji &amp; family.  #NirmalMilkhaSingh @JeevMilkhaSingh  https://t.co/bkPG8ntu5x,en,0.0,1.0,5,,
259,2021-06-14 00:07:45 India Standard Time,aldrnzf,please end this mco. please end this covid era. i just want to go and meet her. please. please. please.,en,0.0,0.0,0,,
260,2021-06-14 00:04:18 India Standard Time,journeyaari,10 Most Relaxing Holiday Destinations list.  Want to see all 10 Destinations then just click on this👇  👉 https://t.co/hQzjbOQNfj . #Journeyaari #traveling #travel #Explore #travelblogger #traveler #COVID #coronavirus #holiday #weekend #Trending #Nature #naturelove #NatureBeauty  https://t.co/9s5rJYdxFn,en,0.0,0.0,3,,
261,2021-06-14 00:03:18 India Standard Time,manaliroy16,"Due to Covid I am unable to sing, but It would be unfair if I don't do something from my side 4 u @itsSSR , recorded after your demise, but for my lifeline. What could be better except your songs. Here's my lil version of Jaan Nisaar. Love U Sushant #JusticeForSushantSinghRajput  https://t.co/EaGlQ5b7Wk",en,1.0,0.0,0,,
262,2021-06-14 00:03:07 India Standard Time,suneja_yuvraj,Peace time is the time for a guardian to prepare for next war. #COVID #CoronaUpdate #CoronaPandemic #CoronaSecondWave #ThirdWave,en,0.0,0.0,0,,
263,2021-06-13 23:58:30 India Standard Time,iamvitalpaul,CA Students are Covid immune 💪  - as per ICAI @theicai @PMOIndia #postponecaexams #icaiexams  #Modiji_help_CA_Aspirants,en,0.0,1.0,3,,
264,2021-06-13 23:54:23 India Standard Time,ibrahimrasheedw,Raees Yameen sarukaarugai Hulhumale' gai elhi Distribution center Covid facility akah  https://t.co/1AfV3iHl0m via @DhiyaresNews,et,0.0,1.0,0,,
265,2021-06-13 23:53:34 India Standard Time,drramshankarmp,लोकसभा इटावा अन्तर्गत बकेवर के गाँव- सराय मिट्ठे में #प्रधानमन्त्री_गरीब_कल्याण_योजना के तहत जरूरतमन्दों को निःशुल्क #राशन का वितरण और ग्राम वासियों की समस्याओं का निस्तारण किया। साथ हैं भाजपा मण्डल अध्यक्ष एवं कार्यकर्तागण। #IndiaFightsCorona #Covid_19  https://t.co/pq4Wmb2Dv7,hi,0.0,3.0,28,,
266,2021-06-13 23:52:30 India Standard Time,lakshyakkhande1,#COVID #Modi #BREAKING_NEWS  https://t.co/7VwXYDVaZD,und,1.0,0.0,0,,
267,2021-06-13 23:52:02 India Standard Time,amitpal49260516,"@ShubhamDhankar2 @RahulDoc2 @drrmittal @myogiadityanath @MoHFW_INDIA @IndiGo6E @manakgupta @MathurVipnesh @AnantBhan @jyoti_archana @DChaurasia2312 @PMOIndia Same is the situation here in Srinagar also, people have become GHAJINI. What Covid, they dnt remember this word",en,0.0,0.0,2,,
268,2021-06-13 23:50:29 India Standard Time,ranjeet02864997,I am really surprised and disappointed to see that all the private hospital has the covid vaccine on a very high cost but none of the government free vaccine centre has the vaccine. Is vaccine available for rich people only. When a common man has the rights in India.,en,0.0,0.0,1,,
269,2021-06-13 23:50:08 India Standard Time,ranjeet02864997,@JPNaddaOfficial I am really surprised and disappointed to see that all the private hospital has the covid vaccine on a very high cost but none of the government free vaccine centre has the vaccine. Is vaccine available for rich people only.When a common man has the rights in Ind,en,0.0,0.0,0,,
270,2021-06-13 23:49:22 India Standard Time,ranjeet02864997,@MinisterHealth1 I am really surprised and disappointed to see that all the private hospital has the covid vaccine on a very high cost but none of the government free vaccine centre has the vaccine. Is vaccine available for rich people only.When a common man has the rights in Ind,en,0.0,0.0,0,,
271,2021-06-13 23:48:42 India Standard Time,fais_mohder,I just knew that mf must be super homophobic or use racial slur liberally. Moga mangkuk tu dapat Covid,en,0.0,0.0,1,,
272,2021-06-13 23:48:41 India Standard Time,swapnil58195307,@KirtiAzaad A negative COVID-19 test is no longer required to enter Himachal Pradesh so obviously all of North India is heading there now…  https://t.co/JBuNmeWBH5,en,1.0,0.0,1,,
273,2021-06-13 23:48:39 India Standard Time,ranjeet02864997,@narendramodi I am really surprised and disappointed to see that all the private hospital has the covid vaccine on a very high cost but none of the government free vaccine centre has the vaccine. Is vaccine available for rich people only. When a common man has the rights in India,en,0.0,0.0,1,,
274,2021-06-13 23:48:21 India Standard Time,ranjeet02864997,@PMOIndia I am really surprised and disappointed to see that all the private hospital has the covid vaccine on a very high cost but none of the government free vaccine centre has the vaccine. Is vaccine available for rich people only. When a common man has the rights in India.,en,0.0,0.0,1,,
275,2021-06-13 23:47:58 India Standard Time,ranjeet02864997,@drharshvardhan I am really surprised and disappointed to see that all the private hospital has the covid vaccine on a very high cost but none of the government free vaccine centre has the vaccine. Is vaccine available for rich people only. When a common man has the rights in Ind,en,0.0,0.0,0,,
276,2021-06-18 05:28:39 India Standard Time,lovemelodymymy,เราจะผ่านมันไปด้วยกัน #Covid_19 #ชลบุรี  https://t.co/UiZsB5zn1S,th,1.0,0.0,3,,
277,2021-06-18 05:11:44 India Standard Time,dallyfanai,I could mentally handle last year's wave of the pandemic. But this year's different. Many people whom I personally know are falling victim to it. Now we have to prepare for a third wave. I am tired of this shit. Lord! Let this end soon pliz. #Covid_19,en,0.0,1.0,12,,
278,2021-06-18 05:10:04 India Standard Time,rela_pontian_,"PENUGASAN SARINGAN KESIHATAN COVID-19 DI SEMPADAN  Tarikh : 16 Jun 2021 Tempat :  CIQ KSAB Tanjung Kupang, Gelang Patah, Johor.  #SetiaBerbakti #KitaJagaKita #PatuhiSOP  @yahyakgc @SazaliZin @msrz81 @farhanaliyana93 @normanosak @relamalaysia  https://t.co/95yOPYFTux",in,0.0,0.0,0,,
279,2021-06-18 05:07:00 India Standard Time,komaragirirk,"@suchetadalal @nsitharaman Sucheta and her dear husband are back to disturb the flow, when Government is already under tremendous pressure for Covid. Last time, the mist effective government was effectively broughtdown by her, probably paid, now she is up in the arms again to disturb the texture",en,0.0,0.0,0,,
280,2021-06-18 05:01:36 India Standard Time,wadhawan2011,"@ShivAroor I beg to differ with you looking at fast pace of vaccinations plus those who were affected by COVID , almost 30% of Adults in Delhi were affected in various extents - mild , moderate , severe , therefore they have anti bodies in them",en,1.0,0.0,3,,
281,2021-06-18 04:57:44 India Standard Time,sa7arfarooq,I’m so over Covid tonight it’s a joke!!,en,0.0,0.0,2,,
282,2021-06-18 03:48:44 India Standard Time,anjalisachdeva9,@noidapolice @coprajaneesh @Uppolice @CP_Noida Well done.. enforcement of protocol for covid-19 is key to avoid wave 3. Thanks @noidapolice  for walking the talk..  And @coprajaneesh  for leading the show...,en,0.0,0.0,3,,
